dataset,metric,method,dimensions,points computed,total points,coverage,mean out degree,median out degree,median in degree,min out degree,max out degree,min in degree,max in degree
spacev1b,euclidean,robust-prune,100,10000,1402020720,96.5,9.86,9.0,1.0,2,85,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,97.0,10.58,9.0,1.0,2,85,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,97.5,11.5,10.0,1.0,2,85,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,98.0,12.73,11.0,1.0,2,85,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,98.5,14.44,13.0,1.0,3,87,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,99.0,17.22,15.0,1.0,3,101,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,99.5,23.06,20.0,1.0,4,142,1,2
spacev1b,euclidean,robust-prune,100,10000,1402020720,100.0,554.8,500.0,1.0,85,2984,1,4
glove25,euclidean,robust-prune,25,1183514,1183514,99.95,16.02,15.0,15.0,1,87,1,78
glove25,euclidean,robust-prune,25,1183514,1183514,99.96,17.04,16.0,16.0,1,87,1,80
glove25,euclidean,robust-prune,25,1183514,1183514,99.97,18.47,17.0,18.0,1,90,1,83
glove25,euclidean,robust-prune,25,1183514,1183514,99.98,20.7,20.0,20.0,1,91,1,89
glove25,euclidean,robust-prune,25,1183514,1183514,99.99,25.13,24.0,24.0,1,98,1,99
fashion_mnist,euclidean,robust-prune,784,60000,60000,99.95,9.72,8.0,9.0,1,106,1,55
fashion_mnist,euclidean,robust-prune,784,60000,60000,99.96,10.02,9.0,9.0,1,107,1,55
fashion_mnist,euclidean,robust-prune,784,60000,60000,99.97,10.57,9.0,10.0,1,107,1,57
fashion_mnist,euclidean,robust-prune,784,60000,60000,99.98,11.26,10.0,10.0,1,107,1,60
fashion_mnist,euclidean,robust-prune,784,60000,60000,99.99,12.13,11.0,11.0,1,107,1,70
fashion_mnist,euclidean,robust-prune,784,60000,60000,100.0,13.55,12.0,12.0,1,108,1,117
fashion_mnist,euclidean,set-cover,784,41543,60000,99.95,4.62,4.0,3.0,1,48,1,441
fashion_mnist,euclidean,set-cover,784,41543,60000,99.96,4.89,4.0,3.0,1,53,1,445
fashion_mnist,euclidean,set-cover,784,41543,60000,99.97,5.4,5.0,3.0,1,60,1,450
fashion_mnist,euclidean,set-cover,784,41543,60000,99.98,6.09,5.0,3.0,1,66,1,456
fashion_mnist,euclidean,set-cover,784,41543,60000,99.99,7.07,6.0,3.0,1,71,1,465
