dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.3,10,1,0.3043,1070890.0,26.0,48.0,245.0,472.0,10000,0,4.872
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.4,18,1,0.4065,781311.0,39.0,71.0,343.0,647.0,10000,0,4.872
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.5,36,1,0.5018,488806.0,63.0,113.0,510.0,944.0,10000,0,4.872
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.6,120,1,0.6081,198263.0,165.0,279.0,1147.0,1908.0,10000,0,4.872
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.1,16,10,0.11144,1444250.0,16.0,16.0,157.0,236.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.2,22,10,0.20008,1105580.0,22.0,22.0,208.0,312.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.3,11,10,0.30375,1038530.0,28.0,50.0,257.0,495.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.4,19,10,0.40109,733407.0,40.0,73.0,352.0,670.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.5,38,10,0.50128,460999.0,65.0,116.0,524.0,959.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.6,100,10,0.60186,224674.0,142.0,245.0,1010.0,1720.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.92,1.0,32,64,1399,0.7,750,10,0.70575,38120.4,891.0,1179.0,4950.0,7345.0,10000,0,5.422
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.1,14,1,0.1128,1757470.0,14.0,14.0,145.0,214.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.2,19,1,0.2033,1260880.0,19.0,19.0,190.0,276.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.3,10,1,0.322,1111110.0,25.0,46.0,246.0,468.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.4,17,1,0.4116,832224.0,37.0,67.0,333.0,623.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.5,34,1,0.5011,532340.0,59.0,108.0,501.0,925.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.6,100,1,0.6035,243457.0,138.0,235.0,1021.0,1729.0,10000,0,4.809
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.1,15,10,0.11747,1580030.0,15.0,15.0,154.0,227.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.2,20,10,0.20407,1161440.0,20.0,20.0,198.0,288.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.3,11,10,0.32414,1047560.0,27.0,48.0,258.0,488.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.4,18,10,0.40618,769231.0,38.0,68.0,342.0,632.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.5,36,10,0.50398,499376.0,61.0,110.0,515.0,940.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.6,90,10,0.60075,257878.0,127.0,215.0,950.0,1625.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.93,1.0,32,64,1399,0.7,750,10,0.70898,38658.1,884.0,1147.0,5081.0,7605.0,10000,0,5.221
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.1,13,1,0.1133,1696930.0,13.0,13.0,155.0,228.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.2,18,1,0.2053,1229110.0,18.0,18.0,202.0,294.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.3,11,1,0.3468,1061800.0,26.0,49.0,276.0,525.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.4,16,1,0.406,854993.0,33.0,60.0,329.0,619.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.5,32,1,0.5059,544662.0,54.0,97.0,492.0,908.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.6,90,1,0.6003,249756.0,126.0,218.0,982.0,1682.0,10000,0,4.917
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.1,13,10,0.10702,1617080.0,13.0,13.0,155.0,228.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.2,19,10,0.20871,1126380.0,19.0,19.0,211.0,307.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.3,11,10,0.33308,1018950.0,26.0,49.0,276.0,525.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.4,17,10,0.41059,780457.0,36.0,67.0,354.0,668.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.5,34,10,0.51011,508647.0,58.0,105.0,521.0,961.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.6,90,10,0.60992,248324.0,126.0,218.0,982.0,1682.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.94,1.0,32,64,1399,0.7,500,10,0.70122,56319.0,598.0,836.0,3724.0,5648.0,10000,0,5.337
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.1,12,1,0.1106,1812910.0,12.0,12.0,145.0,211.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.2,17,1,0.204,1287170.0,17.0,17.0,194.0,281.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.3,10,1,0.3445,1092300.0,24.0,45.0,262.0,498.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.4,14,1,0.4004,932836.0,30.0,55.0,308.0,576.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.5,28,1,0.5019,585069.0,49.0,90.0,463.0,847.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.6,80,1,0.6008,286262.0,111.0,195.0,914.0,1577.0,10000,0,4.994
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.1,13,10,0.11826,1633190.0,13.0,13.0,155.0,225.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.2,18,10,0.20844,1223390.0,18.0,18.0,203.0,293.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.3,11,10,0.34626,1000500.0,26.0,48.0,275.0,521.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.4,16,10,0.40519,842389.0,32.0,59.0,328.0,611.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.5,30,10,0.50239,547226.0,51.0,94.0,480.0,878.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.6,80,10,0.60907,280521.0,111.0,195.0,914.0,1577.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.95,1.0,32,64,1399,0.7,500,10,0.70481,55859.4,592.0,820.0,3825.0,5839.0,10000,0,5.377
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.1,12,1,0.1206,1842300.0,12.0,12.0,143.0,208.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.2,16,1,0.2099,1421870.0,16.0,16.0,185.0,265.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.3,10,1,0.3701,1095530.0,24.0,44.0,263.0,496.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.4,13,1,0.4096,979720.0,28.0,50.0,298.0,550.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.5,24,1,0.5003,661332.0,42.0,74.0,417.0,759.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.6,80,1,0.6058,290175.0,108.0,184.0,924.0,1593.0,10000,0,4.94
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.1,12,10,0.11083,1774310.0,12.0,12.0,143.0,208.0,10000,0,5.394
