"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,14.5729,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.25379,1.58932e+06,194,256,10,10,10,10
10000,0.3,0.34091,1.36426e+06,229,303,12,12,10,12
10000,0.4,0.41031,1.20048e+06,264,349,14,14,10,14
10000,0.5,0.50042,950299,330,442,18,18,10,18
10000,0.6,0.60274,769704,460,777,26,44,10,16
10000,0.7,0.70363,306890,1123,1742,74,110,10,60


