"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,4.54229,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.10882,1.4734e+06,159,234,15,15,10,15
10000,0.2,0.20438,1.06417e+06,215,313,22,22,10,22
10000,0.3,0.31081,940292,273,527,29,56,10,13
10000,0.4,0.41264,662076,383,719,45,83,10,24
10000,0.5,0.50286,382599,566,1029,74,134,10,45
10000,0.6,0.60327,200743,1101,1890,165,291,10,120
10000,0.7,0.70023,37220.4,4751,7134,901,1230,10,750


