"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,6.94435,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.1222,1.80505e+06,152,214,12,12,1,12
10000,0.2,0.2198,1.34084e+06,197,277,16,16,1,16
10000,0.3,0.3081,1.09123e+06,238,336,20,20,1,20
10000,0.4,0.4128,1.02743e+06,296,541,26,45,1,11
10000,0.5,0.5002,729554,404,737,37,65,1,20
10000,0.6,0.6034,355593,796,1370,84,146,1,60
10000,0.7,0.7007,28037.8,7431,11059,1135,1339,1,1000


