"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,4.93695,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.106,1.66223e+06,149,224,15,15,1,15
10000,0.2,0.2146,1.15088e+06,208,312,22,22,1,22
10000,0.3,0.3043,1.07089e+06,245,472,26,48,1,10
10000,0.4,0.4065,781311,343,647,39,71,1,18
10000,0.5,0.5018,488806,510,944,63,113,1,36
10000,0.6,0.6081,198263,1147,1908,165,279,1,120


