"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,13.953,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.25351,1.50921e+06,203,265,10,10,10,10
10000,0.3,0.33625,1.32398e+06,238,310,12,12,10,12
10000,0.4,0.4016,1.17206e+06,271,356,14,14,10,14
10000,0.5,0.54945,933794,385,658,21,37,10,11
10000,0.6,0.60469,713267,490,839,28,48,10,17
10000,0.7,0.70226,295508,1174,1823,79,117,10,65


