"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,6.31508,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.11083,1.77431e+06,143,208,12,12,10,12
10000,0.2,0.21976,1.26871e+06,195,280,17,17,10,17
10000,0.3,0.30474,1.02312e+06,243,351,22,22,10,22
10000,0.4,0.41134,890472,309,563,29,53,10,14
10000,0.5,0.50653,601287,448,819,45,82,10,26
10000,0.6,0.60498,321916,806,1417,92,160,10,65
10000,0.7,0.70182,71443.4,3121,4770,445,619,10,375


