"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,7.88009,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.10176,1.79372e+06,149,207,11,11,10,11
10000,0.2,0.21197,1.31389e+06,198,274,15,15,10,15
10000,0.3,0.3042,1.06883e+06,244,338,19,19,10,19
10000,0.4,0.42601,964878,313,574,25,44,10,11
10000,0.5,0.50299,746993,406,738,34,61,10,18
10000,0.6,0.60551,426876,685,1179,65,112,10,45
10000,0.7,0.70282,103302,2503,3824,295,404,10,250


