"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,4.54229,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.1048,1.67729e+06,151,221,14,14,1,14
10000,0.2,0.2056,1.19389e+06,207,303,21,21,1,21
10000,0.3,0.3019,1.10693e+06,251,481,26,50,1,11
10000,0.4,0.4042,731154,351,664,41,75,1,20
10000,0.5,0.5069,444405,566,1029,74,134,1,45
10000,0.6,0.6048,175670,1239,2121,190,333,1,140


