"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",1183514,0,4.93695,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.11144,1.44425e+06,157,236,16,16,10,16
10000,0.2,0.20008,1.10558e+06,208,312,22,22,10,22
10000,0.3,0.30375,1.03853e+06,257,495,28,50,10,11
10000,0.4,0.40109,733407,352,670,40,73,10,19
10000,0.5,0.50128,460999,524,959,65,116,10,38
10000,0.6,0.60186,224674,1010,1720,142,245,10,100
10000,0.7,0.70575,38120.4,4950,7345,891,1179,10,750


