"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,5.845,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.24633,195343,98,149,10,10,10,10
10000,0.3,0.30341,180216,108,161,11,11,10,11
10000,0.4,0.41786,157764,124,183,13,13,10,13
10000,0.5,0.522,141685,139,204,15,15,10,15
10000,0.6,0.64904,124117,159,233,18,18,10,18
10000,0.7,0.71211,115726,171,251,20,20,10,20
10000,0.75,0.76076,108522,182,271,22,22,10,22
10000,0.8,0.82984,93873.8,204,302,26,26,10,26
10000,0.85,0.85344,92290.9,214,321,28,28,10,28
10000,0.9,0.90826,79904.8,249,373,35,35,10,35
10000,0.93,0.93647,69367.9,265,427,39,58,10,28
10000,0.95,0.95744,60549.6,312,488,49,70,10,38
10000,0.97,0.97103,53713.5,369,568,63,84,10,50
10000,0.98,0.98153,43410.5,449,691,84,104,10,70
10000,0.99,0.99089,30216.3,640,976,139,160,10,120
10000,0.995,0.99542,19484.1,993,1499,255,281,10,225


