"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,6.35453,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2746,216877,95,143,10,10,1,10
10000,0.3,0.3506,185749,104,156,11,11,1,11
10000,0.4,0.4305,170902,113,168,12,12,1,12
10000,0.5,0.5006,159150,122,179,13,13,1,13
10000,0.6,0.6084,140899,137,201,15,15,1,15
10000,0.7,0.7309,121858,158,232,18,18,1,18
10000,0.75,0.7623,117564,165,243,19,19,1,19
10000,0.8,0.8268,110204,184,271,22,22,1,22
10000,0.85,0.867,102716,183,316,21,36,1,10
10000,0.9,0.9027,94697,218,326,28,28,1,28
10000,0.93,0.9332,83430,232,379,31,48,1,19
10000,0.95,0.9557,72180.3,270,436,38,57,1,26
10000,0.97,0.9708,56319.3,328,513,51,69,1,38
10000,0.98,0.98,49406.6,406,622,69,87,1,55
10000,0.99,0.9911,28856.4,678,1018,141,160,1,120
10000,0.995,0.9951,15312.3,1134,1680,286,311,1,250


