"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,11.4637,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.47181,136689,140,191,10,10,10,10
10000,0.5,0.56794,127740,153,207,11,11,10,11
10000,0.6,0.65107,115910,165,221,12,12,10,12
10000,0.7,0.71936,109647,176,236,13,13,10,13
10000,0.75,0.77353,100713,187,250,14,14,10,14
10000,0.8,0.81663,96521.4,197,264,15,15,10,15
10000,0.85,0.8751,88806,216,291,17,17,10,17
10000,0.9,0.91111,79610.2,234,317,19,19,10,19
10000,0.93,0.93407,74995.1,252,340,21,21,10,21
10000,0.95,0.95454,69450.7,276,376,24,24,10,24
10000,0.97,0.97028,67479.6,301,450,27,38,10,18
10000,0.98,0.9834,56775.6,360,533,36,46,10,26
10000,0.99,0.99035,48672.2,427,626,46,57,10,36
10000,0.995,0.99538,34235.4,573,842,71,82,10,60
10000,0.999,0.99909,14698.2,1322,1946,248,268,10,225
10000,0.9995,0.99957,8631.47,2245,3270,544,577,10,500


