"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,7.22988,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.4291,175316,111,167,10,10,1,10
10000,0.5,0.5059,161150,121,180,11,11,1,11
10000,0.6,0.6328,141251,138,203,13,13,1,13
10000,0.7,0.7304,112372,154,225,15,15,1,15
10000,0.75,0.7674,115523,161,235,16,16,1,16
10000,0.8,0.824,102679,175,257,18,18,1,18
10000,0.85,0.8996,104146,194,330,21,34,1,11
10000,0.9,0.9071,103537,200,337,21,35,1,12
10000,0.93,0.9333,81827.7,237,345,28,28,1,28
10000,0.95,0.9537,79754.4,260,430,32,48,1,22
10000,0.97,0.9712,63278.7,314,505,42,58,1,32
10000,0.98,0.9837,45054.4,432,670,67,84,1,55
10000,0.99,0.9906,28348.3,634,974,117,134,1,100
10000,0.995,0.9952,16145.2,1180,1791,278,302,1,250


