"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,8.0327,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.5,0.5795,149896,123,176,10,10,1,10
10000,0.6,0.6473,136998,132,188,11,11,1,11
10000,0.7,0.7019,142996,141,202,12,12,1,12
10000,0.75,0.7852,124456,158,226,14,14,1,14
10000,0.8,0.8173,118331,166,237,15,15,1,15
10000,0.85,0.8644,108310,180,259,17,17,1,17
10000,0.9,0.925,102412,201,337,20,32,1,12
10000,0.93,0.9314,94455.5,208,348,21,33,1,13
10000,0.95,0.9549,79918.8,247,407,27,41,1,19
10000,0.97,0.9708,66011.4,299,477,37,51,1,28
10000,0.98,0.9803,54581.6,354,560,47,62,1,38
10000,0.99,0.9912,35122.4,558,866,92,108,1,80
10000,0.995,0.9953,21292.4,888,1373,180,197,1,160


