"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,5.48502,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.3105,203591,98,144,10,10,1,10
10000,0.4,0.4296,173458,114,167,12,12,1,12
10000,0.5,0.5365,147202,129,195,14,14,1,14
10000,0.6,0.63,136846,142,216,16,16,1,16
10000,0.7,0.7005,119763,155,235,18,18,1,18
10000,0.75,0.774,111293,172,262,21,21,1,21
10000,0.8,0.8145,101574,183,279,23,23,1,23
10000,0.85,0.8762,96466.4,208,321,28,28,1,28
10000,0.9,0.9205,81612.7,241,370,35,35,1,35
10000,0.93,0.9345,73924.6,246,436,36,56,1,24
10000,0.95,0.9578,65067.3,305,520,49,73,1,36
10000,0.97,0.9701,50722.8,369,616,65,90,1,50
10000,0.98,0.9801,41751.2,451,738,87,113,1,70
10000,0.99,0.9907,23343.2,777,1222,187,213,1,160
10000,0.995,0.9958,13072.6,1428,2165,428,463,1,375


