"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,5.33507,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2811,199720,90,145,10,10,1,10
10000,0.3,0.346,198969,98,156,11,11,1,11
10000,0.4,0.4105,176152,106,167,12,12,1,12
10000,0.5,0.524,158869,119,186,14,14,1,14
10000,0.6,0.6164,139739,132,204,16,16,1,16
10000,0.7,0.7197,122151,150,232,19,19,1,19
10000,0.75,0.7686,111651,161,249,21,21,1,21
10000,0.8,0.8074,107414,172,264,23,23,1,23
10000,0.85,0.8557,111309,180,325,24,41,1,13
10000,0.9,0.9127,84670.4,219,387,32,53,1,20
10000,0.93,0.9303,77972.7,236,414,36,59,1,24
10000,0.95,0.9513,70023.6,273,460,45,67,1,32
10000,0.97,0.9718,54628.7,373,598,70,93,1,55
10000,0.98,0.9811,38596.9,478,740,98,121,1,80
10000,0.99,0.99,24808.2,763,1169,187,212,1,160
10000,0.995,0.9956,12701.6,1400,2084,427,462,1,375


