"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,5.33507,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.24489,181209,90,145,10,10,10,10
10000,0.3,0.30293,175325,98,156,11,11,10,11
10000,0.4,0.41402,151249,113,178,13,13,10,13
10000,0.5,0.51015,136694,126,196,15,15,10,15
10000,0.6,0.62951,124810,145,223,18,18,10,18
10000,0.7,0.73702,110351,167,258,22,22,10,22
10000,0.75,0.79461,104460,175,314,23,40,10,12
10000,0.8,0.81005,105371,180,325,24,41,10,13
10000,0.85,0.85957,87165.7,206,370,29,49,10,17
10000,0.9,0.90382,77448.5,236,414,36,59,10,24
10000,0.93,0.94359,65078.7,293,486,50,72,10,36
10000,0.95,0.95707,52597.8,332,534,59,82,10,45
10000,0.97,0.97098,45061.7,396,626,76,100,10,60
10000,0.98,0.98003,39846.2,478,740,98,121,10,80
10000,0.99,0.99032,25631.3,698,1065,166,190,10,140
10000,0.995,0.99525,16516.9,1123,1697,317,348,10,275


