dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.9,19,1,0.9025,94412.7,33.0,53.0,217.0,364.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.93,26,1,0.9346,79939.9,41.0,62.0,251.0,413.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.95,34,1,0.9522,69292.4,50.0,73.0,289.0,461.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.97,55,1,0.9708,50525.0,72.0,96.0,381.0,592.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.98,90,1,0.9828,38569.7,111.0,138.0,521.0,792.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.99,180,1,0.9904,24051.4,209.0,238.0,828.0,1249.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.995,500,1,0.9951,10714.2,560.0,607.0,1730.0,2526.0,10000,0,58.439
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.1,10,10,0.17641,206369.0,10.0,10.0,82.0,133.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.2,11,10,0.22609,188143.0,11.0,11.0,91.0,144.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.3,13,10,0.33297,148302.0,13.0,13.0,107.0,166.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.4,15,10,0.43552,139843.0,15.0,15.0,121.0,185.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.5,17,10,0.52201,119763.0,17.0,17.0,134.0,205.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.6,20,10,0.62943,121742.0,20.0,20.0,152.0,228.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.7,24,10,0.7335,98546.4,24.0,24.0,174.0,261.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.75,10,10,0.75696,105212.0,23.0,40.0,168.0,288.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.8,14,10,0.81945,94431.4,27.0,44.0,188.0,315.0,10000,0,56.422
