"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,7.22988,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.37593,174471,111,167,10,10,10,10
10000,0.4,0.44672,150943,121,180,11,11,10,11
10000,0.5,0.51224,150978,130,192,12,12,10,12
10000,0.6,0.6236,117115,146,215,14,14,10,14
10000,0.7,0.74632,110397,169,246,17,17,10,17
10000,0.75,0.77574,106118,175,257,18,18,10,18
10000,0.8,0.80057,102133,182,267,19,19,10,19
10000,0.85,0.87528,97360.6,200,337,21,35,10,12
10000,0.9,0.90324,85382.5,217,363,24,38,10,15
10000,0.93,0.93102,74876.6,245,411,29,45,10,19
10000,0.95,0.95996,62573.1,295,480,38,54,10,28
10000,0.97,0.97042,58048.8,330,534,45,62,10,34
10000,0.98,0.9828,46832,411,644,62,79,10,50
10000,0.99,0.99115,32499.5,546,836,94,111,10,80
10000,0.995,0.99587,22427.7,866,1315,181,200,10,160


