"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,6.71377,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.24763,204687,93,144,10,10,10,10
10000,0.3,0.31532,186359,103,156,11,11,10,11
10000,0.4,0.45322,159849,121,178,13,13,10,13
10000,0.5,0.51479,135192,130,191,14,14,10,14
10000,0.6,0.66542,125554,152,226,17,17,10,17
10000,0.7,0.70224,123317,159,236,18,18,10,18
10000,0.75,0.76196,114104,173,258,20,20,10,20
10000,0.8,0.80788,106830,185,278,22,22,10,22
10000,0.85,0.85655,97709.7,203,307,25,25,10,25
10000,0.9,0.91608,88525.3,227,386,29,45,10,18
10000,0.93,0.93179,77565.1,257,393,35,35,10,35
10000,0.95,0.95285,71181.5,280,463,40,57,10,28
10000,0.97,0.97611,53213.6,364,583,58,76,10,45
10000,0.98,0.98416,44396.1,435,680,75,92,10,60
10000,0.99,0.99101,31876.9,567,870,107,125,10,90
10000,0.995,0.99511,22754.2,832,1265,184,204,10,160


