"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,6.71377,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2821,207633,93,144,10,10,1,10
10000,0.3,0.3608,187473,103,156,11,11,1,11
10000,0.4,0.4387,184386,112,168,12,12,1,12
10000,0.5,0.5089,136205,121,178,13,13,1,13
10000,0.6,0.6824,138562,145,215,16,16,1,16
10000,0.7,0.7224,130758,152,226,17,17,1,17
10000,0.75,0.756,128601,159,236,18,18,1,18
10000,0.8,0.8322,113726,179,268,21,21,1,21
10000,0.85,0.8656,107885,191,289,23,23,1,23
10000,0.9,0.9047,96331.7,200,365,24,38,1,13
10000,0.93,0.9403,88555.1,232,391,30,46,1,19
10000,0.95,0.954,76223.6,256,428,35,51,1,24
10000,0.97,0.9704,62563,312,511,47,64,1,34
10000,0.98,0.9825,47820.6,408,646,69,85,1,55
10000,0.99,0.9902,30263.9,606,929,118,136,1,100
10000,0.995,0.995,16527.4,1140,1720,285,308,1,250


