"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,10.6739,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.6,0.63704,120702,146,198,10,10,10,10
10000,0.7,0.70674,124378,157,213,11,11,10,11
10000,0.75,0.76087,113963,167,228,12,12,10,12
10000,0.8,0.8025,106974,177,241,13,13,10,13
10000,0.85,0.86211,98566.8,196,269,15,15,10,15
10000,0.9,0.9267,90338.3,224,367,18,28,10,11
10000,0.93,0.93259,84863.7,238,330,20,20,10,20
10000,0.95,0.95632,74973.8,268,377,24,24,10,24
10000,0.97,0.97102,68964.6,293,453,27,39,10,20
10000,0.98,0.98088,58911.2,336,514,34,46,10,26
10000,0.99,0.9901,48064.2,423,643,48,60,10,40
10000,0.995,0.99514,35563.1,571,859,76,90,10,65
10000,0.999,0.99906,14854,1279,1913,251,270,10,225
10000,0.9995,0.99951,8862.63,2181,3215,545,576,10,500


