"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,8.0327,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.5,0.51424,133328,123,176,10,10,10,10
10000,0.6,0.63891,120869,141,202,12,12,10,12
10000,0.7,0.73034,116773,158,226,14,14,10,14
10000,0.75,0.76618,111556,166,237,15,15,10,15
10000,0.8,0.82289,108941,180,259,17,17,10,17
10000,0.85,0.87843,96756.7,201,289,20,20,10,20
10000,0.9,0.90624,89922.4,208,348,21,33,10,13
10000,0.93,0.94093,79952.7,251,366,28,28,10,28
10000,0.95,0.95455,72773.3,263,429,30,44,10,22
10000,0.97,0.97188,61867,310,489,39,52,10,30
10000,0.98,0.98109,49709.4,354,560,47,62,10,38
10000,0.99,0.99013,39435.8,467,731,71,87,10,60
10000,0.995,0.99573,24647.5,732,1134,136,152,10,120
10000,0.999,0.9991,5927.43,3173,4619,1079,1132,10,1000


