source_id,total points,edges,points covered,coverage frac
486439805,1000000000,321,999999640,0.99999964
486439805,1000000000,322,999999642,0.999999642
486439805,1000000000,323,999999646,0.999999646
486439805,1000000000,324,999999649,0.999999649
486439805,1000000000,325,999999650,0.99999965
486439805,1000000000,326,999999652,0.999999652
486439805,1000000000,327,999999658,0.999999658
486439805,1000000000,328,999999659,0.999999659
486439805,1000000000,329,999999660,0.99999966
486439805,1000000000,330,999999666,0.999999666
486439805,1000000000,331,999999669,0.999999669
486439805,1000000000,332,999999670,0.99999967
486439805,1000000000,333,999999673,0.999999673
486439805,1000000000,334,999999676,0.999999676
486439805,1000000000,335,999999678,0.999999678
486439805,1000000000,336,999999682,0.999999682
486439805,1000000000,337,999999687,0.999999687
486439805,1000000000,338,999999688,0.999999688
486439805,1000000000,339,999999690,0.99999969
486439805,1000000000,340,999999692,0.999999692
486439805,1000000000,341,999999694,0.999999694
486439805,1000000000,342,999999695,0.999999695
486439805,1000000000,343,999999697,0.999999697
486439805,1000000000,344,999999699,0.999999699
486439805,1000000000,345,999999703,0.999999703
486439805,1000000000,346,999999705,0.999999705
486439805,1000000000,347,999999706,0.999999706
486439805,1000000000,348,999999708,0.999999708
486439805,1000000000,349,999999711,0.999999711
486439805,1000000000,350,999999712,0.999999712
486439805,1000000000,351,999999714,0.999999714
486439805,1000000000,352,999999715,0.999999715
486439805,1000000000,353,999999716,0.999999716
486439805,1000000000,354,999999717,0.999999717
486439805,1000000000,355,999999720,0.99999972
486439805,1000000000,356,999999723,0.999999723
486439805,1000000000,357,999999725,0.999999725
486439805,1000000000,358,999999728,0.999999728
486439805,1000000000,359,999999729,0.999999729
486439805,1000000000,360,999999732,0.999999732
486439805,1000000000,361,999999733,0.999999733
486439805,1000000000,362,999999736,0.999999736
486439805,1000000000,363,999999737,0.999999737
486439805,1000000000,364,999999738,0.999999738
486439805,1000000000,365,999999739,0.999999739
486439805,1000000000,366,999999740,0.99999974
486439805,1000000000,367,999999741,0.999999741
486439805,1000000000,368,999999743,0.999999743
486439805,1000000000,369,999999744,0.999999744
486439805,1000000000,370,999999745,0.999999745
486439805,1000000000,371,999999746,0.999999746
486439805,1000000000,372,999999748,0.999999748
486439805,1000000000,373,999999750,0.99999975
486439805,1000000000,374,999999751,0.999999751
486439805,1000000000,375,999999755,0.999999755
486439805,1000000000,376,999999756,0.999999756
486439805,1000000000,377,999999760,0.99999976
486439805,1000000000,378,999999761,0.999999761
486439805,1000000000,379,999999762,0.999999762
486439805,1000000000,380,999999764,0.999999764
486439805,1000000000,381,999999765,0.999999765
486439805,1000000000,382,999999766,0.999999766
486439805,1000000000,383,999999769,0.999999769
486439805,1000000000,384,999999771,0.999999771
486439805,1000000000,385,999999775,0.999999775
486439805,1000000000,386,999999776,0.999999776
486439805,1000000000,387,999999777,0.999999777
486439805,1000000000,388,999999778,0.999999778
486439805,1000000000,389,999999781,0.999999781
486439805,1000000000,390,999999784,0.999999784
486439805,1000000000,391,999999785,0.999999785
486439805,1000000000,392,999999786,0.999999786
486439805,1000000000,393,999999788,0.999999788
486439805,1000000000,394,999999789,0.999999789
486439805,1000000000,395,999999792,0.999999792
486439805,1000000000,396,999999793,0.999999793
486439805,1000000000,397,999999794,0.999999794
486439805,1000000000,398,999999798,0.999999798
486439805,1000000000,399,999999800,0.9999998
486439805,1000000000,400,999999801,0.999999801
486439805,1000000000,401,999999803,0.999999803
486439805,1000000000,402,999999804,0.999999804
486439805,1000000000,403,999999805,0.999999805
486439805,1000000000,404,999999806,0.999999806
486439805,1000000000,405,999999807,0.999999807
486439805,1000000000,406,999999808,0.999999808
486439805,1000000000,407,999999810,0.99999981
486439805,1000000000,408,999999811,0.999999811
486439805,1000000000,409,999999813,0.999999813
486439805,1000000000,410,999999814,0.999999814
486439805,1000000000,411,999999815,0.999999815
486439805,1000000000,412,999999817,0.999999817
486439805,1000000000,413,999999818,0.999999818
486439805,1000000000,414,999999819,0.999999819
486439805,1000000000,415,999999820,0.99999982
486439805,1000000000,416,999999823,0.999999823
486439805,1000000000,417,999999825,0.999999825
486439805,1000000000,418,999999827,0.999999827
486439805,1000000000,419,999999830,0.99999983
486439805,1000000000,420,999999831,0.999999831
486439805,1000000000,421,999999832,0.999999832
486439805,1000000000,422,999999834,0.999999834
486439805,1000000000,423,999999836,0.999999836
486439805,1000000000,424,999999838,0.999999838
486439805,1000000000,425,999999839,0.999999839
486439805,1000000000,426,999999840,0.99999984
486439805,1000000000,427,999999841,0.999999841
486439805,1000000000,428,999999843,0.999999843
486439805,1000000000,429,999999844,0.999999844
486439805,1000000000,430,999999845,0.999999845
486439805,1000000000,431,999999846,0.999999846
486439805,1000000000,432,999999847,0.999999847
486439805,1000000000,433,999999848,0.999999848
486439805,1000000000,434,999999850,0.99999985
486439805,1000000000,435,999999851,0.999999851
486439805,1000000000,436,999999852,0.999999852
486439805,1000000000,437,999999853,0.999999853
486439805,1000000000,438,999999855,0.999999855
486439805,1000000000,439,999999856,0.999999856
486439805,1000000000,440,999999857,0.999999857
486439805,1000000000,441,999999859,0.999999859
486439805,1000000000,442,999999860,0.99999986
486439805,1000000000,443,999999861,0.999999861
486439805,1000000000,444,999999862,0.999999862
486439805,1000000000,445,999999865,0.999999865
486439805,1000000000,446,999999866,0.999999866
486439805,1000000000,447,999999867,0.999999867
486439805,1000000000,448,999999869,0.999999869
486439805,1000000000,449,999999870,0.99999987
486439805,1000000000,450,999999871,0.999999871
486439805,1000000000,451,999999872,0.999999872
486439805,1000000000,452,999999873,0.999999873
486439805,1000000000,453,999999875,0.999999875
486439805,1000000000,454,999999876,0.999999876
486439805,1000000000,455,999999877,0.999999877
486439805,1000000000,456,999999878,0.999999878
486439805,1000000000,457,999999879,0.999999879
486439805,1000000000,458,999999880,0.99999988
486439805,1000000000,459,999999881,0.999999881
486439805,1000000000,460,999999882,0.999999882
486439805,1000000000,461,999999884,0.999999884
486439805,1000000000,462,999999885,0.999999885
