source_id,total points,edges,points covered,coverage frac
1232101530,1402020720,1,176062472,0.1255776533744808
1232101530,1402020720,2,281331239,0.20066125627587017
1232101530,1402020720,3,473404669,0.33765882504218625
1232101530,1402020720,4,638079860,0.4551144294072915
1232101530,1402020720,5,700697559,0.49977689274092896
1232101530,1402020720,6,741042197,0.5285529567637203
1232101530,1402020720,7,780080823,0.5563974996032869
1232101530,1402020720,8,803804930,0.5733188665000615
1232101530,1402020720,9,826908838,0.589797872602054
1232101530,1402020720,10,863900475,0.616182387803798
1232101530,1402020720,11,888745919,0.6339035552912513
1232101530,1402020720,12,997421116,0.7114168155803005
1232101530,1402020720,13,1033770357,0.7373431378389329
1232101530,1402020720,14,1034236208,0.7376754089625722
1232101530,1402020720,15,1038937520,0.741028648991721
1232101530,1402020720,16,1056117270,0.7532822125481855
1232101530,1402020720,17,1061072704,0.7568167066746346
1232101530,1402020720,18,1070264520,0.7633728266155724
1232101530,1402020720,19,1081001797,0.77103125622851
1232101530,1402020720,20,1095352160,0.7812667419066389
1232101530,1402020720,21,1095925857,0.7816759348606489
1232101530,1402020720,22,1101038555,0.78532259851338
1232101530,1402020720,23,1106174634,0.7889859388098059
1232101530,1402020720,24,1112940850,0.79381198446197
1232101530,1402020720,25,1114164522,0.7946847761279876
1232101530,1402020720,26,1127893616,0.8044771378271784
1232101530,1402020720,27,1139669420,0.8128763032831641
1232101530,1402020720,28,1145097819,0.8167481426380061
1232101530,1402020720,29,1175005679,0.8380801098289047
1232101530,1402020720,30,1176755411,0.8393281170623499
1232101530,1402020720,31,1184914641,0.8451477386154465
1232101530,1402020720,32,1198968512,0.8551717495302067
1232101530,1402020720,33,1216525367,0.8676942855737538
1232101530,1402020720,34,1219437837,0.8697716229186684
1232101530,1402020720,35,1220656985,0.8706411878135438
1232101530,1402020720,36,1226688707,0.8749433510511885
1232101530,1402020720,37,1227537945,0.8755490753374886
1232101530,1402020720,38,1229443449,0.8769081879189347
1232101530,1402020720,39,1235768882,0.8814198423543983
1232101530,1402020720,40,1243085470,0.8866384442592261
1232101530,1402020720,41,1254028065,0.894443318212872
1232101530,1402020720,42,1268359317,0.9046651728513684
1232101530,1402020720,43,1268508138,0.9047713203553797
1232101530,1402020720,44,1281855330,0.9142912880773973
1232101530,1402020720,45,1283643098,0.9155664247244506
1232101530,1402020720,46,1284284301,0.9160237667528908
1232101530,1402020720,47,1284965438,0.9165095919552458
1232101530,1402020720,48,1285418005,0.9168323881832502
1232101530,1402020720,49,1288748002,0.9192075292581982
1232101530,1402020720,50,1289337878,0.9196282619846018
1232101530,1402020720,51,1289599525,0.9198148833349624
1232101530,1402020720,52,1294750662,0.9234889638435586
1232101530,1402020720,53,1297916746,0.9257471929516135
1232101530,1402020720,54,1298712821,0.9263149983974559
1232101530,1402020720,55,1299509180,0.9268830064080651
1232101530,1402020720,56,1299645679,0.9269803651689256
1232101530,1402020720,57,1301696391,0.9284430482596576
