"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,7.47414,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.19906,284876,103,158,10,10,10,10
10000,0.2,0.24111,248287,113,170,11,11,10,11
10000,0.3,0.32217,227863,131,194,13,13,10,13
10000,0.4,0.42419,188783,156,229,16,16,10,16
10000,0.5,0.50383,163095,179,259,19,19,10,19
10000,0.6,0.60869,148355,203,388,22,41,10,10
10000,0.7,0.70743,114103,264,499,31,57,10,17
10000,0.75,0.76824,88381.4,339,624,43,79,10,28
10000,0.8,0.80251,70292.8,443,785,62,109,10,45


