"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,7.47414,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2151,275710,103,158,10,10,1,10
10000,0.3,0.3344,219077,131,194,13,13,1,13
10000,0.4,0.4027,193660,148,217,15,15,1,15
10000,0.5,0.533,164777,187,270,20,20,1,20
10000,0.6,0.6123,157025,203,388,22,41,1,10
10000,0.7,0.7136,111371,284,532,34,63,1,20
10000,0.75,0.7502,94207.2,339,624,43,79,1,28
10000,0.8,0.8021,49924.9,621,1050,100,163,1,80


