"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,8.12554,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.16185,256825,101,154,10,10,10,10
10000,0.2,0.20558,239137,112,168,11,11,10,11
10000,0.3,0.33563,191300,141,207,14,14,10,14
10000,0.4,0.41636,169655,160,231,16,16,10,16
10000,0.5,0.51174,147621,185,266,19,19,10,19
10000,0.6,0.6695,132733,229,429,24,43,10,11
10000,0.7,0.71652,118342,258,472,28,50,10,15
10000,0.75,0.75034,102325,293,534,33,58,10,19
10000,0.8,0.80433,73262.2,421,725,56,92,10,40


