"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,8.97204,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.3383,241319,125,178,10,10,10,10
10000,0.4,0.43405,210686,144,206,12,12,10,12
10000,0.5,0.50945,185096,163,229,14,14,10,14
10000,0.6,0.61436,156688,197,276,18,18,10,18
10000,0.7,0.70919,136351,230,418,22,39,10,12
10000,0.75,0.75669,114620,274,502,28,50,10,17
10000,0.8,0.80157,86152.7,363,646,41,71,10,30


