"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,7.80026,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.1439,322612,98,148,10,10,1,10
10000,0.2,0.2133,256838,118,175,12,12,1,12
10000,0.3,0.3209,212409,147,214,15,15,1,15
10000,0.4,0.4207,183133,173,249,18,18,1,18
10000,0.5,0.5221,149036,206,293,22,22,1,22
10000,0.6,0.6252,133538,228,455,24,45,1,10
10000,0.7,0.7123,108117,293,571,33,61,1,17
10000,0.75,0.7539,87895.1,357,679,44,78,1,26
10000,0.8,0.8,53708.3,585,992,90,142,1,70


