"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,7.80026,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.13246,289168,98,148,10,10,10,10
10000,0.2,0.23643,230835,128,188,13,13,10,13
10000,0.3,0.30576,199812,147,214,15,15,10,15
10000,0.4,0.40404,171204,173,249,18,18,10,18
10000,0.5,0.53478,143353,213,304,23,23,10,23
10000,0.6,0.61952,135433,228,455,24,45,10,10
10000,0.7,0.7036,111307,276,537,31,56,10,16
10000,0.75,0.75162,94200.1,325,621,38,69,10,22
10000,0.8,0.80215,70619,417,741,56,96,10,40


