"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,8.51689,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.24298,273643,108,161,10,10,10,10
10000,0.3,0.3454,234077,128,187,12,12,10,12
10000,0.4,0.43284,204968,147,213,14,14,10,14
10000,0.5,0.50341,183759,165,235,16,16,10,16
10000,0.6,0.60479,155417,197,281,20,20,10,20
10000,0.7,0.70619,133531,234,432,24,44,10,13
10000,0.75,0.75168,112634,277,511,30,54,10,18
10000,0.8,0.80323,78740.2,387,682,48,82,10,34


