"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,14.6208,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.45877,187477,155,212,10,10,10,10
10000,0.5,0.5157,179772,169,231,11,11,10,11
10000,0.6,0.60327,150616,196,265,13,13,10,13
10000,0.7,0.70831,121652,244,333,17,17,10,17
10000,0.75,0.76772,111873,268,493,18,33,10,10
10000,0.8,0.80321,91567.5,329,576,24,41,10,16


