"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,10.8006,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.35416,236317,127,180,10,10,10,10
10000,0.4,0.4161,217075,139,196,11,11,10,11
10000,0.5,0.51912,189955,161,225,13,13,10,13
10000,0.6,0.62709,161145,191,269,16,16,10,16
10000,0.7,0.70753,136314,227,318,20,20,10,20
10000,0.75,0.75151,126121,245,440,21,37,10,12
10000,0.8,0.80279,94291.6,329,561,32,53,10,22


