"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",113287,0,8.12554,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.1,0.1743,284633,101,154,10,10,1,10
10000,0.2,0.2186,255905,112,168,11,11,1,11
10000,0.3,0.3105,215054,132,195,13,13,1,13
10000,0.4,0.4352,178920,160,231,16,16,1,16
10000,0.5,0.5253,153149,185,266,19,19,1,19
10000,0.6,0.6576,145406,221,418,23,41,1,10
10000,0.7,0.7023,127235,252,463,27,48,1,14
10000,0.75,0.7548,98808.4,323,575,38,66,1,24
10000,0.8,0.8017,52884,594,968,89,138,1,70


