"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,6.94465,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.24869,191780,90,145,10,10,10,10
10000,0.3,0.33708,167123,105,164,12,12,10,12
10000,0.4,0.49362,148798,131,198,16,16,10,16
10000,0.5,0.52731,121702,137,204,17,17,10,17
10000,0.6,0.61154,115199,155,226,20,20,10,20
10000,0.7,0.7427,110456,179,335,24,44,10,12
10000,0.75,0.79046,103266,196,363,27,50,10,15
10000,0.8,0.80366,99326.6,201,372,28,51,10,16
10000,0.85,0.85244,83348.6,226,415,33,60,10,20
10000,0.9,0.90074,72563.7,269,490,42,75,10,28
10000,0.93,0.93232,63678.4,314,557,53,91,10,38
10000,0.95,0.95422,53461.4,374,651,67,114,10,50
10000,0.97,0.97678,40650.2,494,820,99,150,10,80
10000,0.98,0.98065,35948.9,538,886,111,165,10,90
10000,0.99,0.99085,25565.3,792,1243,187,240,10,160
10000,0.995,0.99534,17820.3,1099,1726,286,343,10,250
10000,0.999,0.99908,5892.96,3196,4952,1106,1204,10,1000


