"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,15.0093,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.6,0.6225,118747,147,206,10,10,10,10
10000,0.7,0.72924,99375.9,170,236,12,12,10,12
10000,0.75,0.76947,93440.5,181,249,13,13,10,13
10000,0.8,0.80294,88324.4,192,262,14,14,10,14
10000,0.85,0.85374,79476.7,213,289,16,16,10,16
10000,0.9,0.90979,74728.4,228,390,17,31,10,10
10000,0.93,0.93816,66099.1,255,430,20,35,10,13
10000,0.95,0.95047,68782.4,272,452,22,38,10,15
10000,0.97,0.97426,50096.9,334,538,29,48,10,22
10000,0.98,0.98166,51022.8,370,601,33,54,10,26
10000,0.99,0.99062,39157.8,459,714,46,67,10,38
10000,0.995,0.99561,29780.7,578,884,64,86,10,55
10000,0.999,0.99918,14843,1181,1838,176,199,10,160
10000,0.9995,0.99952,9273.13,1833,2936,325,355,10,300


