"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,12.4894,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.5,0.597,138754,136,196,11,11,1,11
10000,0.6,0.6583,113109,147,209,12,12,1,12
10000,0.7,0.7084,107255,157,222,13,13,1,13
10000,0.75,0.75,98730.3,166,234,14,14,1,14
10000,0.8,0.8158,102093,185,259,16,16,1,16
10000,0.85,0.8617,83363.9,202,283,18,18,1,18
10000,0.9,0.9176,79723.8,213,382,18,33,1,10
10000,0.93,0.9372,75237.2,229,404,20,36,1,12
10000,0.95,0.9526,72164.6,251,439,23,41,1,15
10000,0.97,0.9737,59713.3,306,522,31,51,1,22
10000,0.98,0.9812,49208.2,337,572,35,59,1,26
10000,0.99,0.9914,41219.9,429,720,50,77,1,40
10000,0.995,0.9952,32401,524,849,66,94,1,55
10000,0.999,0.999,18713,882,1401,136,163,1,120
10000,0.9995,0.9995,12132.1,1371,2193,249,281,1,225
10000,0.9999,0.9999,10106.2,1683,2719,330,365,1,300
10000,0.99999,1,8431.58,1975,3204,410,448,1,375


