"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,10.114,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.42255,141727,107,157,10,10,10,10
10000,0.5,0.54507,122829,125,180,12,12,10,12
10000,0.6,0.63799,107687,141,201,14,14,10,14
10000,0.7,0.70718,103201,157,222,16,16,10,16
10000,0.75,0.7615,89428.6,172,241,18,18,10,18
10000,0.8,0.84737,86707.7,191,345,20,36,10,11
10000,0.85,0.86104,78470.1,197,353,21,38,10,12
10000,0.9,0.90175,70074.1,223,393,25,43,10,16
10000,0.93,0.93032,61208.5,252,447,30,51,10,20
10000,0.95,0.95323,55156.3,291,513,36,60,10,26
10000,0.97,0.97261,44646.4,349,594,46,73,10,36
10000,0.98,0.98116,39250.9,398,652,56,84,10,45
10000,0.99,0.99002,32250.1,506,808,78,108,10,65
10000,0.995,0.99512,23812.9,678,1067,116,147,10,100
10000,0.999,0.99928,9281.2,1763,2820,413,450,10,375
10000,0.9995,0.99951,7434.56,2196,3515,548,593,10,500


