"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,8.31148,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.3946,184318,108,167,11,11,1,11
10000,0.4,0.4477,144204,116,179,12,12,1,12
10000,0.5,0.5005,134760,124,190,13,13,1,13
10000,0.6,0.6249,128674,146,218,16,16,1,16
10000,0.7,0.7183,113833,166,245,19,19,1,19
10000,0.75,0.7633,108987,179,262,21,21,1,21
10000,0.8,0.8314,103090,184,342,21,40,1,10
10000,0.85,0.8723,103600,203,372,24,45,1,13
10000,0.9,0.9157,80098,236,430,30,55,1,18
10000,0.93,0.934,74122.4,257,463,34,60,1,22
10000,0.95,0.9544,66742.8,292,517,41,71,1,28
10000,0.97,0.9742,58626.6,353,612,53,89,1,40
10000,0.98,0.9818,45286.4,409,690,65,105,1,50
10000,0.99,0.9907,36355.8,542,870,97,139,1,80
10000,0.995,0.9951,24184.6,713,1138,141,188,1,120
10000,0.999,0.9991,12601.7,1367,2178,337,384,1,300
10000,0.9995,0.9997,8894.43,2009,3215,554,609,1,500
10000,0.9999,0.9999,6287.13,2760,4361,826,898,1,750
10000,0.99999,1,4922.65,3454,5415,1098,1185,1,1000


