"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,8.79138,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.43616,170129,109,158,10,10,10,10
10000,0.5,0.54122,143258,125,179,12,12,10,12
10000,0.6,0.62534,138158,140,200,14,14,10,14
10000,0.7,0.71789,112368,160,226,17,17,10,17
10000,0.75,0.76253,109582,173,244,19,19,10,19
10000,0.8,0.81423,96231.6,192,269,22,22,10,22
10000,0.85,0.87528,90730.1,210,372,24,43,10,16
10000,0.9,0.90174,80782.6,232,410,28,50,10,19
10000,0.93,0.93587,70423,273,478,36,61,10,26
10000,0.95,0.9514,65790.3,302,526,42,69,10,32
10000,0.97,0.97115,55429,371,626,56,88,10,45
10000,0.98,0.98202,43784.2,445,726,72,107,10,60
10000,0.99,0.99069,29967.3,583,923,105,144,10,90
10000,0.995,0.99505,22842.4,789,1249,159,197,10,140
10000,0.999,0.99917,8868.6,2044,3275,547,600,10,500
10000,0.9995,0.99959,5064.64,3512,5560,1086,1171,10,1000


