"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,7.5427,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.26838,174180,99,157,10,10,10,10
10000,0.3,0.3132,182266,107,166,11,11,10,11
10000,0.4,0.47432,146428,135,199,15,15,10,15
10000,0.5,0.50906,129885,142,207,16,16,10,16
10000,0.6,0.69304,107292,185,263,23,23,10,23
10000,0.7,0.72249,102774,180,335,21,41,10,10
10000,0.75,0.77861,95836.8,199,359,25,47,10,13
10000,0.8,0.80506,91180.1,210,380,27,50,10,15
10000,0.85,0.85407,85216.6,237,430,32,59,10,19
10000,0.9,0.92421,64007.4,304,538,46,81,10,32
10000,0.93,0.9367,61728.8,327,579,51,90,10,36
10000,0.95,0.96544,49112.8,415,719,71,119,10,55
10000,0.97,0.97031,46761.5,440,753,77,128,10,60
10000,0.98,0.9811,36536.5,524,868,99,155,10,80
10000,0.99,0.99185,23243.7,762,1217,165,224,10,140
10000,0.995,0.99541,17299.2,1065,1676,259,316,10,225
10000,0.999,0.99912,5667.73,3315,5171,1107,1201,10,1000


