"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,7.5427,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.3,0.3619,176744,107,166,11,11,1,11
10000,0.4,0.4056,165410,114,175,12,12,1,12
10000,0.5,0.5637,132850,142,207,16,16,1,16
10000,0.6,0.6578,129495,161,232,19,19,1,19
10000,0.7,0.7083,108800,173,248,21,21,1,21
10000,0.75,0.7885,105273,180,335,21,41,1,10
10000,0.8,0.8058,96422.7,186,340,22,43,1,11
10000,0.85,0.8581,100043,210,380,27,50,1,15
10000,0.9,0.9027,79212.9,242,435,33,60,1,20
10000,0.93,0.9338,71333.8,277,494,40,73,1,26
10000,0.95,0.9502,61490.8,304,538,46,81,1,32
10000,0.97,0.9763,51467.1,396,689,67,112,1,50
10000,0.98,0.9842,43859.6,465,793,83,139,1,65
10000,0.99,0.991,32326.7,608,985,121,181,1,100
10000,0.995,0.9951,22244.1,833,1338,187,244,1,160
10000,0.999,0.999,9276.76,1928,3037,560,625,1,500


