dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.98,70,1,0.9832,43114.6,88.0,141.0,455.0,772.0,10000,0,61.078
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.99,120,1,0.9915,28504.1,143.0,198.0,648.0,1029.0,10000,0,61.078
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.995,200,1,0.9951,21070.7,230.0,285.0,930.0,1460.0,10000,0,61.078
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.999,500,1,0.9991,10485.7,560.0,625.0,1863.0,2893.0,10000,0,61.078
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.2,10,10,0.24869,191780.0,10.0,10.0,90.0,145.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.3,12,10,0.33708,167123.0,12.0,12.0,105.0,164.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.4,16,10,0.49362,148798.0,16.0,16.0,131.0,198.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.5,17,10,0.52731,121702.0,17.0,17.0,137.0,204.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.6,20,10,0.61154,115199.0,20.0,20.0,155.0,226.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.7,12,10,0.7427,110456.0,24.0,44.0,179.0,335.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.75,15,10,0.79046,103266.0,27.0,50.0,196.0,363.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.8,16,10,0.80366,99326.6,28.0,51.0,201.0,372.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.85,20,10,0.85244,83348.6,33.0,60.0,226.0,415.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.9,28,10,0.90074,72563.7,42.0,75.0,269.0,490.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.93,38,10,0.93232,63678.4,53.0,91.0,314.0,557.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.95,50,10,0.95422,53461.4,67.0,114.0,374.0,651.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.97,80,10,0.97678,40650.2,99.0,150.0,494.0,820.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.98,90,10,0.98065,35948.9,111.0,165.0,538.0,886.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.99,160,10,0.99085,25565.3,187.0,240.0,792.0,1243.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.995,250,10,0.99534,17820.3,286.0,343.0,1099.0,1726.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.999,1000,10,0.99908,5892.96,1106.0,1204.0,3196.0,4952.0,10000,0,58.595
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.2,10,1,0.2609,215815.0,10.0,10.0,87.0,139.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.3,11,1,0.3138,173638.0,11.0,11.0,95.0,150.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.4,14,1,0.4624,177677.0,14.0,14.0,117.0,175.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.5,16,1,0.5458,140243.0,16.0,16.0,131.0,192.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.6,18,1,0.6131,108553.0,18.0,18.0,143.0,208.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.7,23,1,0.7354,99581.8,23.0,23.0,173.0,247.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.75,10,1,0.7852,109883.0,22.0,42.0,172.0,321.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.8,12,1,0.8196,102886.0,24.0,46.0,184.0,342.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.85,18,1,0.891,93614.6,32.0,59.0,223.0,416.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.9,20,1,0.9032,81392.8,34.0,62.0,232.0,433.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.93,26,1,0.9331,72177.7,41.0,74.0,265.0,486.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.95,38,1,0.9596,64449.2,54.0,94.0,322.0,581.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.97,50,1,0.9747,50254.0,68.0,113.0,380.0,662.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.98,65,1,0.9825,42470.1,84.0,136.0,447.0,766.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.99,100,1,0.9901,32982.2,123.0,180.0,588.0,948.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.995,200,1,0.9955,19074.2,233.0,292.0,951.0,1475.0,10000,0,65.316
