"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,7.22265,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.22091,197184,87,139,10,10,10,10
10000,0.3,0.35997,159655,110,166,13,13,10,13
10000,0.4,0.40181,150274,117,175,14,14,10,14
10000,0.5,0.51664,121455,137,200,17,17,10,17
10000,0.6,0.63065,110340,161,232,21,21,10,21
10000,0.7,0.71357,104667,172,321,22,42,10,10
10000,0.75,0.75266,98460.1,184,342,24,46,10,12
10000,0.8,0.81232,97295.2,206,380,29,53,10,16
10000,0.85,0.87207,80501,242,443,36,65,10,22
10000,0.9,0.92,68829.3,291,528,47,83,10,32
10000,0.93,0.93321,58533.3,315,569,52,92,10,36
10000,0.95,0.95132,45395.7,356,627,62,106,10,45
10000,0.97,0.97121,40122.1,447,766,84,136,10,65
10000,0.98,0.98313,34229,550,902,112,172,10,90
10000,0.99,0.99057,26174,741,1183,167,230,10,140
10000,0.995,0.99561,15747.3,1124,1768,289,348,10,250


