"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,10.114,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.4,0.4921,146518,107,157,10,10,1,10
10000,0.5,0.5578,135523,116,169,11,11,1,11
10000,0.6,0.6215,126334,125,180,12,12,1,12
10000,0.7,0.7094,111411,141,201,14,14,1,14
10000,0.75,0.7748,100181,157,222,16,16,1,16
10000,0.8,0.8213,92425.7,172,241,18,18,1,18
10000,0.85,0.8878,86327.5,184,336,19,34,1,10
10000,0.9,0.9011,86720.5,191,345,20,36,1,11
10000,0.93,0.9342,73373,217,384,24,42,1,15
10000,0.95,0.9536,68373.7,246,437,29,50,1,19
10000,0.97,0.9726,54633.2,291,513,36,60,1,26
10000,0.98,0.9831,47263.4,339,573,45,71,1,34
10000,0.99,0.991,37316.2,428,695,62,91,1,50
10000,0.995,0.9952,27776.9,577,915,93,124,1,80
10000,0.999,0.9992,13426.4,1208,1914,251,283,1,225
10000,0.9995,0.9995,10696,1496,2386,332,367,1,300
10000,0.99999,1,7171.42,2196,3515,548,593,1,500


