"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,6.94465,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.2,0.2976,227206,90,145,10,10,1,10
10000,0.3,0.3452,214128,97,153,11,11,1,11
10000,0.4,0.4397,177923,111,173,13,13,1,13
10000,0.5,0.5248,167118,125,190,15,15,1,15
10000,0.6,0.621,144942,143,214,18,18,1,18
10000,0.7,0.719,119644,166,241,22,22,1,22
10000,0.75,0.7556,112279,177,256,24,24,1,24
10000,0.8,0.8369,104975,190,358,26,48,1,14
10000,0.85,0.8603,102945,201,372,28,51,1,16
10000,0.9,0.9005,89670.8,226,415,33,60,1,20
10000,0.93,0.9354,75517.9,269,490,42,75,1,28
10000,0.95,0.9524,68134.7,299,536,49,87,1,34
10000,0.97,0.9721,55186.1,374,651,67,114,1,50
10000,0.98,0.9832,43114.6,455,772,88,141,1,70
10000,0.99,0.9915,28504.1,648,1029,143,198,1,120
10000,0.995,0.9951,21070.7,930,1460,230,285,1,200
10000,0.999,0.9991,10485.7,1863,2893,560,625,1,500


