"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,8.79138,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.5,0.5042,162811,109,158,10,10,1,10
10000,0.6,0.6168,141505,125,179,12,12,1,12
10000,0.7,0.7275,128121,147,208,15,15,1,15
10000,0.75,0.7544,127319,153,218,16,16,1,16
10000,0.8,0.8192,120659,173,244,19,19,1,19
10000,0.85,0.8615,111611,175,317,19,35,1,10
10000,0.9,0.905,97621.9,199,351,23,41,1,14
10000,0.93,0.933,92693,226,402,27,49,1,18
10000,0.95,0.9537,80737,257,453,33,56,1,24
10000,0.97,0.9709,68782.9,302,526,42,69,1,32
10000,0.98,0.9823,49985.5,371,626,56,88,1,45
10000,0.99,0.9902,42671.6,470,760,78,113,1,65
10000,0.995,0.9962,28984.3,707,1127,137,176,1,120
10000,0.999,0.9993,11486.2,1636,2617,412,457,1,375
10000,0.9995,0.9997,9255.37,2044,3275,547,600,1,500
10000,0.9999,0.9999,6437.36,2798,4456,817,885,1,750


