"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 32, L = 64",60000,0,15.2732,32

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q"
10000,0.6,0.6969,127848,146,202,10,10,1,10
10000,0.75,0.7505,131019,158,216,11,11,1,11
10000,0.8,0.8299,104045,181,245,13,13,1,13
10000,0.85,0.8584,98653.4,192,258,14,14,1,14
10000,0.9,0.9118,84628.1,223,299,17,17,1,17
10000,0.93,0.9356,79036.4,242,325,19,19,1,19
10000,0.95,0.9555,75417.6,238,408,18,32,1,11
10000,0.97,0.974,64957.4,322,435,28,28,1,28
10000,0.98,0.9823,60481.1,321,525,27,45,1,20
10000,0.99,0.9927,41844.2,435,686,42,64,1,34
10000,0.995,0.9953,32147.7,515,792,53,74,1,45
10000,0.999,0.9992,21925.7,867,1336,112,135,1,100
10000,0.9995,0.9995,17738,1086,1680,155,177,1,140
10000,0.99999,1,7629.18,2162,3492,406,439,1,375


